Time,x,y,z,vx,vy,vz,ax,ay,az,roll,pitch,yaw,vroll,vpitch,vyaw,ar,ap,ay,qw,qx,qy,qz
2.000000,-0.000000,0.000000,0.500000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000007,-0.000006,0.000000,1.000000,-0.000000,0.000000,0.000000
2.005000,-0.000000,-0.000000,0.500000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000014,-0.000012,0.000000,1.000000,0.000000,-0.000000,0.000000
2.010000,-0.000000,-0.000000,0.500000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000027,-0.000024,0.000000,1.000000,0.000000,-0.000000,0.000000
2.015000,-0.000000,-0.000000,0.500000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000040,-0.000036,0.000000,1.000000,0.000000,-0.000000,0.000000
2.020000,-0.000000,-0.000000,0.500000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000001,-0.000000,0.000000,0.000052,-0.000047,0.000000,1.000000,0.000000,-0.000000,0.000000
2.025000,-0.000000,-0.000000,0.500000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000001,-0.000001,0.000000,0.000064,-0.000058,0.000000,1.000000,0.000000,-0.000000,0.000000
2.030000,-0.000000,-0.000000,0.500000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000001,0.000000,-0.000000,0.000000,0.000001,-0.000001,0.000000,0.000076,-0.000069,0.000000,1.000000,0.000000,-0.000000,0.000000
2.035000,-0.000000,-0.000000,0.500000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000001,0.000000,-0.000000,0.000000,0.000002,-0.000001,0.000000,0.000088,-0.000079,0.000000,1.000000,0.000000,-0.000000,0.000000
2.040000,-0.000000,-0.000000,0.500000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000002,0.000000,-0.000000,0.000000,0.000002,-0.000002,0.000000,0.000099,-0.000090,0.000000,1.000000,0.000000,-0.000000,0.000000
2.045000,-0.000000,-0.000000,0.500000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000003,0.000000,-0.000000,0.000000,0.000003,-0.000002,0.000000,0.000110,-0.000100,0.000000,1.000000,0.000000,-0.000000,0.000000
2.050000,-0.000000,-0.000000,0.500000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000001,-0.000003,0.000000,-0.000000,0.000000,0.000003,-0.000003,0.000000,0.000121,-0.000109,0.000000,1.000000,0.000000,-0.000000,0.000000
2.055000,-0.000000,-0.000000,0.500000,-0.000000,-0.000000,-0.000000,-0.000001,-0.000001,-0.000005,0.000000,-0.000000,0.000000,0.000004,-0.000003,0.000000,0.000131,-0.000119,0.000000,1.000000,0.000000,-0.000000,0.000000
2.060000,-0.000000,-0.000000,0.500000,-0.000000,-0.000000,-0.000000,-0.000001,-0.000001,-0.000006,0.000000,-0.000000,0.000000,0.000004,-0.000004,0.000000,0.000141,-0.000128,0.000000,1.000000,0.000000,-0.000000,0.000000
2.065000,-0.000000,-0.000000,0.500000,-0.000000,-0.000000,-0.000000,-0.000001,-0.000001,-0.000007,0.000000,-0.000000,0.000000,0.000005,-0.000005,0.000000,0.000151,-0.000136,0.000000,1.000000,0.000000,-0.000000,0.000000
2.070000,-0.000000,-0.000000,0.500000,-0.000000,-0.000000,-0.000000,-0.000001,-0.000001,-0.000009,0.000000,-0.000000,0.000000,0.000006,-0.000005,0.000000,0.000161,-0.000145,0.000000,1.000000,0.000000,-0.000000,0.000000
2.075000,-0.000000,-0.000000,0.500000,-0.000000,-0.000000,-0.000000,-0.000002,-0.000002,-0.000011,0.000000,-0.000000,0.000000,0.000007,-0.000006,0.000000,0.000170,-0.000153,0.000000,1.000000,0.000000,-0.000000,0.000000
2.080000,-0.000000,-0.000000,0.500000,-0.000000,-0.000000,-0.000000,-0.000002,-0.000002,-0.000014,0.000000,-0.000000,0.000000,0.000008,-0.000007,0.000000,0.000179,-0.000161,0.000000,1.000000,0.000000,-0.000000,0.000000
2.085000,-0.000000,-0.000000,0.500000,-0.000000,-0.000000,-0.000000,-0.000002,-0.000002,-0.000016,0.000000,-0.000000,0.000000,0.000009,-0.000008,0.000000,0.000187,-0.000169,0.000000,1.000000,0.000000,-0.000000,0.000000
2.090000,-0.000000,-0.000000,0.500000,-0.000000,-0.000000,-0.000000,-0.000003,-0.000003,-0.000019,0.000000,-0.000000,0.000000,0.000010,-0.000009,0.000000,0.000195,-0.000177,0.000000,1.000000,0.000000,-0.000000,0.000000
2.095000,-0.000000,-0.000000,0.500000,-0.000000,-0.000000,-0.000001,-0.000003,-0.000003,-0.000022,0.000000,-0.000000,0.000000,0.000011,-0.000010,0.000000,0.000204,-0.000184,0.000000,1.000000,0.000000,-0.000000,0.000000
2.100000,-0.000000,-0.000000,0.500000,-0.000000,-0.000000,-0.000001,-0.000004,-0.000004,-0.000026,0.000000,-0.000000,0.000000,0.000012,-0.000010,0.000000,0.000211,-0.000191,0.000000,1.000000,0.000000,-0.000000,0.000000
2.105000,-0.000000,-0.000000,0.500000,-0.000000,-0.000000,-0.000001,-0.000004,-0.000005,-0.000030,0.000000,-0.000000,0.000000,0.000013,-0.000011,0.000000,0.000219,-0.000198,0.000000,1.000000,0.000000,-0.000000,0.000000
2.110000,-0.000000,-0.000000,0.500000,-0.000000,-0.000000,-0.000001,-0.000005,-0.000005,-0.000034,0.000001,-0.000000,0.000000,0.000014,-0.000012,0.000000,0.000226,-0.000204,0.000000,1.000000,0.000000,-0.000000,0.000000
2.115000,-0.000000,-0.000000,0.500000,-0.000000,-0.000000,-0.000001,-0.000005,-0.000006,-0.000039,0.000001,-0.000001,0.000000,0.000015,-0.000013,0.000000,0.000233,-0.000210,0.000000,1.000000,0.000000,-0.000000,0.000000
2.120000,-0.000000,-0.000000,0.500000,-0.000000,-0.000000,-0.000001,-0.000006,-0.000007,-0.000044,0.000001,-0.000001,0.000000,0.000016,-0.000015,0.000000,0.000240,-0.000217,0.000000,1.000000,0.000000,-0.000000,0.000000
