Time,x,y,z,vx,vy,vz,ax,ay,az,roll,pitch,yaw,vroll,vpitch,vyaw,ar,ap,ay,qw,qx,qy,qz
2.000000,0.000000,-0.000000,0.500000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000013,0.000017,0.000000,1.000000,-0.000000,-0.000000,0.000000
2.005000,0.000000,-0.000000,0.500000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000026,0.000034,0.000000,1.000000,0.000000,0.000000,0.000000
2.010000,0.000000,-0.000000,0.500000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000051,0.000067,0.000000,1.000000,0.000000,0.000000,0.000000
2.015000,0.000000,-0.000000,0.500000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000000,0.000075,0.000099,0.000000,1.000000,0.000000,0.000000,0.000000
2.020000,0.000000,-0.000000,0.500000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000000,0.000099,0.000130,0.000000,1.000000,0.000000,0.000000,0.000000
2.025000,0.000000,-0.000000,0.500000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000002,0.000002,0.000000,0.000123,0.000160,0.000000,1.000000,0.000000,0.000000,0.000000
2.030000,0.000000,-0.000000,0.500000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000001,0.000000,0.000000,0.000000,0.000002,0.000003,0.000000,0.000145,0.000190,0.000000,1.000000,0.000000,0.000000,0.000000
2.035000,0.000000,-0.000000,0.500000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000001,0.000000,0.000000,0.000000,0.000003,0.000004,0.000000,0.000167,0.000219,0.000000,1.000000,0.000000,0.000000,0.000000
2.040000,0.000000,-0.000000,0.500000,0.000000,-0.000000,-0.000000,0.000001,-0.000001,-0.000002,0.000000,0.000000,0.000000,0.000004,0.000005,0.000000,0.000189,0.000247,0.000000,1.000000,0.000000,0.000000,0.000000
2.045000,0.000000,-0.000000,0.500000,0.000000,-0.000000,-0.000000,0.000001,-0.000001,-0.000003,0.000000,0.000000,0.000000,0.000005,0.000006,0.000000,0.000210,0.000274,0.000000,1.000000,0.000000,0.000000,0.000000
2.050000,0.000000,-0.000000,0.500000,0.000000,-0.000000,-0.000000,0.000001,-0.000001,-0.000003,0.000000,0.000000,0.000000,0.000006,0.000008,0.000000,0.000230,0.000301,0.000000,1.000000,0.000000,0.000000,0.000000
2.055000,0.000000,-0.000000,0.500000,0.000000,-0.000000,-0.000000,0.000002,-0.000001,-0.000005,0.000000,0.000000,0.000000,0.000007,0.000009,0.000000,0.000250,0.000326,0.000000,1.000000,0.000000,0.000000,0.000000
2.060000,0.000000,-0.000000,0.500000,0.000000,-0.000000,-0.000000,0.000002,-0.000002,-0.000006,0.000000,0.000000,0.000000,0.000009,0.000011,0.000000,0.000269,0.000351,0.000000,1.000000,0.000000,0.000000,0.000000
2.065000,0.000000,-0.000000,0.500000,0.000000,-0.000000,-0.000000,0.000003,-0.000002,-0.000007,0.000000,0.000000,0.000000,0.000010,0.000013,0.000000,0.000287,0.000376,0.000000,1.000000,0.000000,0.000000,0.000000
2.070000,0.000000,-0.000000,0.500000,0.000000,-0.000000,-0.000000,0.000004,-0.000003,-0.000009,0.000000,0.000000,0.000000,0.000011,0.000015,0.000000,0.000305,0.000399,0.000000,1.000000,0.000000,0.000000,0.000000
2.075000,0.000000,-0.000000,0.500000,0.000000,-0.000000,-0.000000,0.000004,-0.000003,-0.000011,0.000000,0.000000,0.000000,0.000013,0.000017,0.000000,0.000323,0.000422,0.000000,1.000000,0.000000,0.000000,0.000000
2.080000,0.000000,-0.000000,0.500000,0.000000,-0.000000,-0.000000,0.000005,-0.000004,-0.000014,0.000000,0.000001,0.000000,0.000015,0.000019,0.000000,0.000340,0.000444,0.000000,1.000000,0.000000,0.000000,0.000000
2.085000,0.000000,-0.000000,0.500000,0.000000,-0.000000,-0.000000,0.000006,-0.000005,-0.000016,0.000000,0.000001,0.000000,0.000016,0.000021,0.000000,0.000356,0.000465,0.000000,1.000000,0.000000,0.000000,0.000000
2.090000,0.000000,-0.000000,0.500000,0.000000,-0.000000,-0.000000,0.000007,-0.000006,-0.000019,0.000001,0.000001,0.000000,0.000018,0.000024,0.000000,0.000372,0.000486,0.000000,1.000000,0.000000,0.000000,0.000000
2.095000,0.000000,-0.000000,0.500000,0.000000,-0.000000,-0.000001,0.000008,-0.000006,-0.000022,0.000001,0.000001,0.000000,0.000020,0.000026,0.000000,0.000387,0.000506,0.000000,1.000000,0.000000,0.000000,0.000000
2.100000,0.000000,-0.000000,0.500000,0.000000,-0.000000,-0.000001,0.000010,-0.000008,-0.000026,0.000001,0.000001,0.000000,0.000022,0.000029,0.000000,0.000402,0.000525,0.000000,1.000000,0.000000,0.000001,0.000000
2.105000,0.000000,-0.000000,0.500000,0.000000,-0.000000,-0.000001,0.000011,-0.000009,-0.000030,0.000001,0.000001,0.000000,0.000024,0.000031,0.000000,0.000416,0.000544,0.000000,1.000000,0.000000,0.000001,0.000000
2.110000,0.000000,-0.000000,0.500000,0.000000,-0.000000,-0.000001,0.000013,-0.000010,-0.000034,0.000001,0.000001,0.000000,0.000026,0.000034,0.000000,0.000430,0.000562,0.000000,1.000000,0.000001,0.000001,0.000000
2.115000,0.000000,-0.000000,0.500000,0.000000,-0.000000,-0.000001,0.000015,-0.000011,-0.000039,0.000001,0.000001,0.000000,0.000028,0.000037,0.000000,0.000443,0.000579,0.000000,1.000000,0.000001,0.000001,0.000000
2.120000,0.000000,-0.000000,0.500000,0.000001,-0.000000,-0.000001,0.000017,-0.000013,-0.000044,0.000001,0.000002,0.000000,0.000031,0.000040,0.000000,0.000456,0.000596,0.000000,1.000000,0.000001,0.000001,0.000000
2.125000,0.000000,-0.000000,0.500000,0.000001,-0.000000,-0.000002,0.000019,-0.000014,-0.000049,0.000001,0.000002,0.000000,0.000033,0.000043,0.000000,0.000468,0.000612,0.000000,1.000000,0.000001,0.000001,0.000000
2.130000,0.000000,-0.000000,0.500000,0.000001,-0.000001,-0.000002,0.000021,-0.000016,-0.000055,0.000002,0.000002,0.000000,0.000035,0.000046,0.000000,0.000480,0.000628,0.000000,1.000000,0.000001,0.000001,0.000000
2.135000,0.000000,-0.000000,0.500000,0.000001,-0.000001,-0.000002,0.000023,-0.000018,-0.000061,0.000002,0.000002,0.000000,0.000038,0.000049,0.000000,0.000492,0.000642,0.000000,1.000000,0.000001,0.000001,0.000000
2.140000,0.000000,-0.000000,0.500000,0.000001,-0.000001,-0.000002,0.000026,-0.000020,-0.000068,0.000002,0.000003,0.000000,0.000040,0.000053,0.000000,0.000503,0.000657,0.000000,1.000000,0.000001,0.000001,0.000000
2.145000,0.000000,-0.000000,0.500000,0.000001,-0.000001,-0.000003,0.000028,-0.000022,-0.000075,0.000002,0.000003,0.000000,0.000043,0.000056,0.000000,0.000513,0.000670,0.000000,1.000000,0.000001,0.000001,0.000000
2.150000,0.000000,-0.000000,0.500000,0.000001,-0.000001,-0.000003,0.000031,-0.000024,-0.000082,0.000002,0.000003,0.000000,0.000045,0.000059,0.000000,0.000523,0.000683,0.000000,1.000000,0.000001,0.000002,0.000000
2.155000,0.000000,-0.000000,0.500000,0.000001,-0.000001,-0.000004,0.000034,-0.000026,-0.000090,0.000003,0.000003,0.000000,0.000048,0.000063,0.000000,0.000532,0.000696,0.000000,1.000000,0.000001,0.000002,0.000000
2.160000,0.000000,-0.000000,0.500000,0.000002,-0.000001,-0.000004,0.000037,-0.000029,-0.000098,0.000003,0.000004,0.000000,0.000051,0.000066,0.000000,0.000542,0.000708,0.000000,1.000000,0.000001,0.000002,0.000000
2.165000,0.000000,-0.000000,0.500000,0.000002,-0.000001,-0.000005,0.000041,-0.000031,-0.000107,0.000003,0.000004,0.000000,0.000053,0.000070,0.000000,0.000550,0.000719,0.000000,1.000000,0.000002,0.000002,0.000000
2.170000,0.000000,-0.000000,0.500000,0.000002,-0.000002,-0.000005,0.000044,-0.000034,-0.000116,0.000003,0.000004,0.000000,0.000056,0.000073,0.000000,0.000558,0.000730,0.000000,1.000000,0.000002,0.000002,0.000000
2.175000,0.000000,-0.000000,0.500000,0.000002,-0.000002,-0.000006,0.000048,-0.000037,-0.000126,0.000004,0.000005,0.000000,0.000059,0.000077,0.000000,0.000566,0.000740,0.000000,1.000000,0.000002,0.000002,0.000000
2.180000,0.000000,-0.000000,0.500000,0.000002,-0.000002,-0.000006,0.000052,-0.000040,-0.000136,0.000004,0.000005,0.000000,0.000062,0.000081,0.000000,0.000574,0.000750,0.000000,1.000000,0.000002,0.000003,0.000000
2.185000,0.000000,-0.000000,0.500000,0.000003,-0.000002,-0.000007,0.000056,-0.000043,-0.000147,0.000004,0.000006,0.000000,0.000065,0.000085,0.000000,0.000581,0.000759,0.000000,1.000000,0.000002,0.000003,0.000000
2.190000,0.000000,-0.000000,0.500000,0.000003,-0.000002,-0.000008,0.000060,-0.000046,-0.000158,0.000005,0.000006,0.000000,0.000068,0.000088,0.000000,0.000587,0.000767,0.000000,1.000000,0.000002,0.000003,0.000000
2.195000,0.000000,-0.000000,0.500000,0.000003,-0.000003,-0.000009,0.000064,-0.000049,-0.000170,0.000005,0.000007,0.000000,0.000071,0.000092,0.000000,0.000593,0.000775,0.000000,1.000000,0.000003,0.000003,0.000000
2.200000,0.000000,-0.000000,0.500000,0.000004,-0.000003,-0.000010,0.000069,-0.000053,-0.000182,0.000005,0.000007,0.000000,0.000074,0.000096,0.000000,0.000599,0.000783,0.000000,1.000000,0.000003,0.000004,0.000000
2.205000,0.000000,-0.000000,0.500000,0.000004,-0.000003,-0.000011,0.000074,-0.000057,-0.000195,0.000006,0.000008,0.000000,0.000077,0.000100,0.000000,0.000605,0.000790,0.000000,1.000000,0.000003,0.000004,0.000000
2.210000,0.000000,-0.000000,0.499999,0.000004,-0.000003,-0.000012,0.000079,-0.000060,-0.000208,0.000006,0.000008,0.000000,0.000080,0.000104,0.000000,0.000610,0.000796,0.000000,1.000000,0.000003,0.000004,0.000000
2.215000,0.000000,-0.000000,0.499999,0.000005,-0.000004,-0.000013,0.000084,-0.000064,-0.000222,0.000007,0.000009,0.000000,0.000083,0.000108,0.000000,0.000614,0.000803,0.000000,1.000000,0.000003,0.000004,0.000000
2.220000,0.000000,-0.000000,0.499999,0.000005,-0.000004,-0.000014,0.000089,-0.000068,-0.000236,0.000007,0.000009,0.000000,0.000086,0.000112,0.000000,0.000618,0.000808,0.000000,1.000000,0.000003,0.000005,0.000000
2.225000,0.000000,-0.000000,0.499999,0.000006,-0.000004,-0.000015,0.000095,-0.000073,-0.000251,0.000007,0.000010,0.000000,0.000089,0.000116,0.000000,0.000622,0.000813,0.000000,1.000000,0.000004,0.000005,0.000000
2.230000,0.000000,-0.000000,0.499999,0.000006,-0.000005,-0.000016,0.000101,-0.000077,-0.000266,0.000008,0.000010,0.000000,0.000092,0.000120,0.000000,0.000626,0.000818,0.000000,1.000000,0.000004,0.000005,0.000000
